Kreis / Kreisfreie Stadt,Fläche in km²,Bevölkerung insgesamt,Bevölkerung männlich,Bevölkerung weiblich,Einwohner je km²
Kitzingen,"684,19",   88 097,   43 821,   44 276,129
Miltenberg,"715,86",   127 909,   63 644,   64 265,179
Main-Spessart,"   1 321,42",   126 295,   62 782,   63 513,96
Schweinfurt,"841,46",   113 007,   56 262,   56 745,134
Würzburg,"968,4",   158 580,   78 529,   80 051,164
Kreisfreie Städte,"185,8",   244 393,   116 173,   128 220,   1 315
Landkreise,"   8 345,59",  1 053 599,   522 657,   530 942,126
Zusammen,"   8 531,39",  1 297 992,   638 830,   659 162,152
,,,,,
Augsburg,"146,84",   276 542,   134 549,   141 993,   1 883
Kaufbeuren,"40,03",   41 759,   20 258,   21 501,   1 043
Kempten (Allgäu),"63,28",   65 044,   31 905,   33 139,   1 028
Memmingen,"70,14",   41 772,   20 371,   21 401,596
Aichach-Friedberg,"780,33",   128 435,   63 741,   64 694,165
Augsburg,"   1 071,12",   240 911,   119 037,   121 874,225
Dillingen a.d.Donau,"792,22",   93 129,   46 180,   46 949,118
Günzburg,"762,44",   120 696,   60 320,   60 376,158
Neu-Ulm,"515,87",   166 643,   82 229,   84 414,323
Lindau (Bodensee),"323,44",   78 939,   38 653,   40 286,244
Ostallgäu,"   1 394,92",   134 771,   66 693,   68 078,97
Unterallgäu,"   1 230,06",   137 484,   68 733,   68 751,112
Donau-Ries,"   1 274,68",   129 422,   65 203,   64 219,102
Oberallgäu,"   1 528,01",   150 478,   73 788,   76 690,98
Kreisfreie Städte,"320,29",   425 117,   207 083,   218 034,   1 327
Landkreise,"   9 673,09",  1 380 908,   684 577,   696 331,143
Zusammen,"   9 993,38",  1 806 025,   891 660,   914 365,181
Insgesamt,"   70 550,16",  12 604 244,  6 197 163,  6 407 081,179
davon Kreisfreie Städte,"   2 086,99",  3 683 623,  1 782 516,  1 901 107,   1 765
Landkreise,"   68 463,17",  8 920 621,  4 414 647,  4 505 974,130
,,,,,
Regionalverband Saarbrücken,"410,63",   325 978,   158 386,   167 592,794
Merzig-Wadern,"555,16",   103 135,   50 638,   52 497,186
Neunkirchen,"249,25",   133 222,   64 864,   68 358,534
Saarlouis,"459,03",   195 976,   95 367,   100 609,427
Saarpfalz-Kreis,"418,39",   143 851,   69 614,   74 237,344
St. Wendel,"476,23",   88 556,   43 540,   45 016,186
Insgesamt,"   2 568,69",   990 718,   482 409,   508 309,386
,,,,,
"Berlin, Stadt","891,68",  3 421 829,  1 669 853,  1 751 976,   3 838
,,,,,
"Brandenburg an der Havel, Stadt","229,71",   71 032,   34 852,   36 180,309
"Cottbus, Stadt","165,15",   99 595,   48 907,   50 688,603
"Frankfurt (Oder), Stadt","147,85",   58 018,   27 733,   30 285,392
"Potsdam, Stadt","188,25",   161 468,   77 383,   84 085,858
Barnim,"   1 479,69",   173 754,   85 935,   87 819,117
Dahme-Spreewald,"   2 274,28",   160 793,   79 404,   81 389,71
Elbe-Elster,"   1 899,57",   106 157,   52 428,   53 729,56
Havelland,"   1 727,30",   153 874,   76 018,   77 856,89
Märkisch-Oderland,"   2 158,65",   187 668,   92 972,   94 696,87
Oberhavel,"   1 808,20",   203 012,   99 944,   103 068,112
Oberspreewald-Lausitz,"   1 223,08",   113 842,   55 726,   58 116,93
Oder-Spree,"   2 256,75",   176 850,   87 048,   89 802,78
Ostprignitz-Ruppin,"   2 526,56",   98 944,   49 145,   49 799,39
Potsdam-Mittelmark,"   2 592,00",   205 520,   101 665,   103 855,79
Prignitz,"   2 138,59",   77 993,   38 513,   39 480,36
Spree-Neiße,"   1 657,43",   118 899,   58 576,   60 323,72
Teltow-Fläming,"   2 104,20",   160 448,   79 653,   80 795,76
Uckermark,"   3 076,90",   121 326,   59 519,   61 807,39
Kreisfreie Städte,"730,96",   390 113,   188 875,   201 238,534
Landkreise,"   28 923,20",  2 059 080,  1 016 546,  1 042 534,71
Insgesamt,"   29 654,16",  2 449 193,  1 205 421,  1 243 772,83
,,,,,
Rostock,"181,26",   203 431,   99 559,   103 872,   1 122
Schwerin,"130,52",   91 583,   43 536,   48 047,702
Mecklenburgische Seenplatte,"   5 470,03",   262 412,   128 641,   133 771,48
Landkreis Rostock,"   3 422,23",   210 555,   104 956,   105 599,62
Vorpommern-Rügen,"   3 207,22",   223 109,   109 655,   113 454,70
Nordwestmecklenburg,"   2 118,45",   155 265,   77 288,   77 977,73
Vorpommern-Greifswald,"   3 929,48",   238 185,   116 949,   121 236,61
Ludwigslust-Parchim,"   4 751,86",   211 965,   105 749,   106 216,45
Kreisfreie Städte,"311,78",   295 014,   143 095,   151 919,946
Landkreise,"   22 899,27",  1 301 491,   643 238,   658 253,57
Insgesamt,"   23 211,05",  1 596 505,   786 333,   810 172,69
,,,,,
,,,,,
"Chemnitz, Stadt","220,86",   242 022,   117 495,   124 527,   1 096
Erzgebirgskreis,"   1 828,43",   351 309,   171 418,   179 891,192
Mittelsachsen,"   2 113,40",   314 591,   155 331,   159 260,149
Vogtlandkreis,"   1 411,90",   233 970,   113 382,   120 588,166
Zwickau,"949,27",   327 062,   158 462,   168 600,345
,,,,,
"Dresden, Stadt","328,31",   530 754,   261 664,   269 090,   1 617
Bautzen,"   2 390,74",   308 350,   151 839,   156 511,129
Görlitz,"   2 106,30",   262 168,   127 915,   134 253,124
Meißen,"   1 452,39",   243 716,   119 570,   124 146,168
Sächsische Schweiz-Osterzgebirge,"   1 653,70",   245 939,   121 119,   124 820,149
,,,,,
"Leipzig, Stadt","297,39",   531 562,   257 414,   274 148,   1 787
Leipzig,"   1 647,12",   257 596,   126 061,   131 535,156
Nordsachsen,"   2 020,35",   197 346,   97 518,   99 828,98
Kreisfreie Städte,"846,56",  1 304 338,   636 573,   667 765,   1 541
Landkreise,"   17 573,60",  2 742 047,  1 342 615,  1 399 432,156
Insgesamt,"   18 420,16",  4 046 385,  1 979 188,  2 067 197,220
,,,,,
"Dessau-Roßlau, Stadt","244,74",   83 616,   40 428,   43 188,342
"Halle (Saale), Stadt","135,01",   231 565,   110 632,   120 933,   1 715
"Magdeburg, Landeshauptstadt",201,   231 021,   112 495,   118 526,   1 149
Altmarkkreis Salzwedel,"   2 293,05",   86 312,   43 061,   43 251,38
Anhalt-Bitterfeld,"   1 453,51",   166 828,   81 533,   85 295,115
Börde,"   2 366,64",   172 955,   86 004,   86 951,73
Burgenlandkreis,"   1 413,69",   184 956,   90 995,   93 961,131
Harz,"   2 104,55",   221 043,   107 757,   113 286,105
Jerichower Land,"   1 576,77",   91 721,   45 624,   46 097,58
Mansfeld-Südharz,"   1 448,82",   143 246,   70 402,   72 844,99
Saalekreis,"   1 433,66",   187 690,   92 599,   95 091,131
Salzlandkreis,"   1 426,68",   198 715,   96 699,   102 016,139
Stendal,"   2 423,15",   115 471,   56 882,   58 589,48
Wittenberg,"   1 930,30",   129 438,   63 457,   65 981,67
Kreisfreie Städte,"580,75",   546 202,   263 555,   282 647,941
Landkreise,"   19 870,82",  1 698 375,   835 013,   863 362,85
Insgesamt,"   20 451,57",  2 244 577,  1 098 568,  1 146 009,110
,,,,,
"Erfurt, Stadt","269,15",   204 880,   98 751,   106 129,761
"Gera, Stadt","151,92",   94 977,   45 497,   49 480,625
"Jena, Stadt","114,48",   107 679,   53 190,   54 489,941
"Suhl, Stadt","102,71",   35 665,   17 212,   18 453,347
"Weimar, Stadt","84,19",   63 315,   30 402,   32 913,752
"Eisenach, Stadt","103,84",   41 567,   20 118,   21 449,400
Eichsfeld,"940,13",   100 951,   50 650,   50 301,107
Nordhausen,"711,02",   85 380,   42 138,   43 242,120
Wartburgkreis,"   1 304,87",   126 283,   63 070,   63 213,97
Unstrut-Hainich-Kreis,"975,56",   104 245,   51 406,   52 839,107
Kyffhäuserkreis,"   1 035,19",   77 656,   38 431,   39 225,75
Schmalkalden-Meiningen,"   1 210,13",   125 574,   62 616,   62 958,104
Gotha,"935,62",   135 155,   66 902,   68 253,144
Sömmerda,"804,21",   70 833,   35 281,   35 552,88
Hildburghausen,"937,27",   65 032,   32 383,   32 649,69
Ilm-Kreis,"843,14",   108 958,   54 387,   54 571,129
Weimarer Land,"803,04",   81 704,   40 414,   41 290,102
Sonneberg,"433,48",   57 252,   28 002,   29 250,132
Saalfeld-Rudolstadt,"   1 034,63",   110 307,   54 020,   56 287,107
Saale-Holzland-Kreis,"816,97",   84 001,   41 645,   42 356,103
Saale-Orla-Kreis,"   1 148,39",   83 654,   41 176,   42 478,73
Greiz,"843,54",   102 167,   50 178,   51 989,121
Altenburger Land,"569,09",   93 605,   45 795,   47 810,164
Kreisfreie Städte,"826,29",   548 083,   265 170,   282 913,663
Landkreise,"   15 346,28",  1 612 757,   798 494,   814 263,105
Insgesamt,"   16 172,57",  2 160 840,  1 063 664,  1 097 176,134
,,,,,
Kreisfreie Städte,"   15 796,98",  25 719 040,  12 491 834,  13 227 206,   1 628
Landkreise,"   341 535,86",  55 048 423,  27 065 245,  27 983 178,161
Insgesamt,"   357 332,84",  80 767 463,  39 557 079,  41 210 384,226
